Nom Produits;Année;Mois;Quantité commandé;Montant commandé
Aerius sp 0,5mg/ml Fl/60ml;2023;6;9;33 944
Aerius sp 0,5mg/ml Fl/60ml;2023;9;13;48 996
Alben cp B/1;2023;9;19;25 468
Alben cp B/1;2023;2;39;52 276
Alben cp B/1;2023;1;34;45 548
Alben cp B/1;2023;5;33;44 222
Alben cp B/1;2023;8;50;67 012
Alben cp B/1;2023;6;22;29 489
Alben cp B/1;2023;7;12;16 086
Alben cp B/1;2023;3;60;80 408
Albendazole ubigen 400mg b/50;2023;3;33;3 300
Albendazole ubigen 400mg b/50;2023;4;32;63 700
Albendazole ubigen 400mg b/50;2023;8;43;124 710
Albendazole ubigen 400mg b/50;2023;5;83;11 013
Albendazole ubigen 400mg b/50;2023;1;28;2 750
Albendazole ubigen 400mg b/50;2023;7;269;48 300
Albendazole ubigen 400mg b/50;2023;9;26;3 255
Albendazole ubigen 400mg b/50;2023;2;34;63 480
Albendazole ubigen 400mg b/50;2023;6;13;61 469
Alcool 70ï¿½ Gilbert fl/125 ml;2023;2;17;14 924
Alcool 70ï¿½ Gilbert fl/125 ml;2023;3;13;11 898
Alcool 70ï¿½ Gilbert fl/125 ml;2023;1;16;15 119
Alcool 70ï¿½ Gilbert fl/125 ml;2023;4;10;9 120
Alcool 70 valda fl/125ml;2023;8;29;26 896
Alcool 70 valda fl/125ml;2023;4;12;11 978
Alcool 70 valda fl/125ml;2023;6;15;14 126
Alcool 70 valda fl/125ml;2023;7;17;16 175
Alcool 70 valda fl/125ml;2023;5;14;13 657
Alcool 70 valda fl/125ml;2023;2;13;11 867
Alcool 70 valda fl/125ml;2023;9;14;13 032
Aldomet 500mg cp B/30;2023;1;9;37 449
Aldomet 500mg cp B/30;2023;8;19;79 343
Alfamox 1g sachet;2023;6;30;110 135
Alfamox 1g sachet;2023;1;14;51 293
Alfamox 1g sachet;2023;8;35;128 778
Alfamox 1g sachet;2023;2;53;195 254
Alfamox 1g sachet;2023;7;29;106 590
Alfamox 1g sachet;2023;3;38;139 454
Alfamox 1g sachet;2023;9;29;139 766
Alfamox 1g sachet;2023;5;39;183 294
Alfamox 1g sachet;2023;4;24;88 120
Alfamox 250mg/5ml pdre susp f/125ml;2023;4;12;30 417
Alfamox 250mg/5ml pdre susp f/125ml;2023;9;9;22 803
Alfamox 250mg/5ml pdre susp f/125ml;2023;7;8;19 987
Alfamox 500mg;2023;1;14;41 502
Almax forte sachet;2023;3;14;55 107
Almax forte sachet;2023;4;14;56 274
Almax forte sachet;2023;2;14;56 280
Alpraz 0,5 mg cp B/28;2023;5;13;26 583
Alpraz 0,5 mg cp B/28;2023;3;17;34 785
Alpraz 0,5 mg cp B/28;2023;4;12;24 543
Alpraz 0,5 mg cp B/28;2023;2;18;36 861
Alpraz 0,5 mg cp B/28;2023;1;21;42 967
Alpraz 1mg cp B/14;2023;8;11;22 542
Alzol sirop;2023;3;53;41 105
Alzol sirop;2023;2;23;17 793
Alzol sirop;2023;6;23;17 873
Alzol sirop;2023;5;37;28 739
Alzol sirop;2023;1;22;16 770
Alzol sirop;2023;7;16;12 432
Alzol sirop;2023;4;13;10 097
Alzol sirop;2023;8;48;37 012
Amaday pl 10mg/8mg cpr b/30;2023;9;10;90 657
Amaday pl 10mg/8mg cpr b/30;2023;8;9;81 708
Amaday pl 10mg/8mg cpr b/30;2023;1;11;100 304
Amaday pl 10mg/8mg cpr b/30;2023;6;9;81 699
Amaday pl 10mg/8mg cpr b/30;2023;5;11;99 861
Amapine 10 cp b/10;2023;5;10;27 835
Amapine 10 cp b/10;2023;6;9;23 108
Amapine 10 cp b/30;2023;5;8;40 202
Amarel 2mg cp B/30;2023;2;8;46 050
Ambrolite Gs;2023;2;9;15 740
Ambrolite Gs;2023;1;11;19 233
Ambrolite Gs;2023;8;9;14 154
Ambrolite Gs;2023;5;10;17 441
Ambrolite Gs;2023;4;8;13 995
Amitron 250 sp;2023;3;24;24 817
Amitron 250 sp;2023;5;14;14 518
Amitron 250 sp;2023;2;14;132 010
Amlibon 5 mg cp B/30;2023;3;10;35 366
Amloperin cp 10/10;2023;2;8;100 021
Amloperin cp 10/10;2023;6;8;100 014
Amloperin cp 10/10;2023;5;11;137 530
Amloperin cp 10/10;2023;4;8;100 019
Amloperin cp 10/10;2023;8;8;100 035
Amoxicilline 125mg ubigen fl 60ml;2023;4;8;5 877
Amoxicilline 125mg ubigen fl 60ml;2023;3;11;14 500
Amoxicilline 500 Ubigen b/10x12;2023;8;250;199 040
Amoxicilline 500 Ubigen b/10x12;2023;1;220;175 640
Amoxicilline 500 Ubigen b/10x12;2023;4;179;143 160
Amoxicilline 500 Ubigen b/10x12;2023;9;135;107 200
Amoxicilline 500 Ubigen b/10x12;2023;6;189;150 402
Amoxicilline 500 Ubigen b/10x12;2023;7;140;112 000
Amoxicilline 500 Ubigen b/10x12;2023;3;208;166 360
Amoxicilline 500 Ubigen b/10x12;2023;2;163;130 320
Amoxicilline 500 Ubigen b/10x12;2023;5;194;155 200
Amoxicilline ubigen;2023;2;10;7 760
Amoxiclav denk 500 cp;2023;8;11;25 153
Amoxiclav denk sachet B/12;2023;6;11;64 653
Amoxi denk 1000mg cp b/10;2023;4;9;22 807
Amoxi denk 1000mg cp b/10;2023;5;11;27 875
Amoxi denk 1000mg cp b/10;2023;8;11;27 874
Amoxi denk 1000mg cp b/10;2023;2;12;33 901
Amoxi denk 1000mg cp b/10;2023;3;11;27 876
Amoxi denk 1000mg cp b/10;2023;1;11;27 875
Amoxi denk 500mg;2023;7;21;48 016
Amoxi denk 500mg;2023;6;31;70 837
Amoxi denk 500mg;2023;3;51;116 516
Amoxi denk 500mg;2023;1;14;31 991
Amoxi denk 500mg;2023;9;12;27 320
Amoxi denk 500mg;2023;4;28;64 022
Amoxi denk 500mg;2023;5;34;77 689
Amoxi denk 500mg;2023;8;31;70 883
Amoxi denk 500mg;2023;2;36;82 926
Ampicilline inj;2023;2;11;4 400
Ampicilline inj;2023;4;30;11 560
Ampicilline inj;2023;1;14;5 474
Ampicilline inj;2023;3;38;14 520
Ampicilline inj;2023;5;26;10 040
Anginovag 10 ml are sol;2023;8;9;25 973
Anginovag 10 ml are sol;2023;4;12;34 719
Antalgex T;2023;1;30;59 677
Antalgex T;2023;8;34;68 382
Antalgex T;2023;3;30;60 300
Antalgex T;2023;4;38;75 969
Antalgex T;2023;7;16;32 180
Antalgex T;2023;9;24;48 250
Antalgex T;2023;5;29;57 288
Antalgex T;2023;6;17;34 200
Antalgex T;2023;2;35;70 236
Anticid sp;2023;3;12;14 285
Antinorex 4mg cp B/30 sans sucre;2023;3;57;99 643
Antinorex 4mg cp B/30 sans sucre;2023;5;97;185 191
Antinorex 4mg cp B/30 sans sucre;2023;4;60;104 950
Antinorex 4mg cp B/30 sans sucre;2023;9;28;48 950
Antinorex 4mg cp B/30 sans sucre;2023;2;84;146 920
Antinorex 4mg cp B/30 sans sucre;2023;8;60;104 840
Antinorex 4mg cp B/30 sans sucre;2023;7;44;75 355
Antinorex 4mg cp B/30 sans sucre;2023;6;78;152 142
Antinorex 4mg cp B/30 sans sucre;2023;1;68;118 785
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;2;20;26 977
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;1;37;49 804
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;8;26;35 100
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;6;33;55 073
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;3;33;44 551
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;5;36;72 902
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;9;11;14 850
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;7;14;18 854
Antinorex sp 2mg/5ml Fl/125 ml sans sucre;2023;4;25;32 401
Apdyl H sp Fl/100ml;2023;3;76;127 756
Apdyl H sp Fl/100ml;2023;8;48;81 665
Apdyl H sp Fl/100ml;2023;4;91;153 328
Apdyl H sp Fl/100ml;2023;5;76;129 285
Apdyl H sp Fl/100ml;2023;1;74;124 358
Apdyl H sp Fl/100ml;2023;2;65;110 614
Apdyl H sp Fl/100ml;2023;7;40;68 058
Apdyl H sp Fl/100ml;2023;6;62;105 464
Apdyl H sp Fl/100ml;2023;9;41;69 441
Apetamin sirop;2023;5;23;53 738
Apetamin sirop;2023;2;15;36 470
Apetamin sirop;2023;4;12;29 157
Apetamin sirop;2023;1;23;56 052
Apetamin sirop;2023;3;9;21 925
Apetamin sirop;2023;6;20;47 421
Apetamin sirop;2023;8;20;48 609
Apetamin sirop;2023;7;23;55 919
Appetine 2mg/5ml Fl/100ml;2023;7;32;34 862
Appetine 2mg/5ml Fl/100ml;2023;6;65;64 989
Appetine 2mg/5ml Fl/100ml;2023;1;15;14 956
Appetine 2mg/5ml Fl/100ml;2023;5;45;44 900
Appetine 2mg/5ml Fl/100ml;2023;3;19;18 100
Appetine 2mg/5ml Fl/100ml;2023;9;29;28 965
Appetine 2mg/5ml Fl/100ml;2023;4;28;27 986
Appetine 2mg/5ml Fl/100ml;2023;2;19;27 997
Appetine 2mg/5ml Fl/100ml;2023;8;47;46 917
Apramol 1g eff;2023;6;32;35 873
Apramol 1g eff;2023;1;21;23 552
Apramol 1g eff;2023;8;44;49 414
Apramol 1g eff;2023;2;37;41 674
Apramol 1g eff;2023;9;37;41 564
Apramol 1g eff;2023;7;32;36 050
Apramol 1g eff;2023;3;47;52 798
Apramol 1g eff;2023;4;28;31 477
Apramol 1g eff;2023;5;31;34 854
Apramol 500mg cp eff B/16;2023;6;8;8 506
Apramol 500mg cp eff B/16;2023;2;12;12 766
Apramol 500mg cp eff B/16;2023;4;11;11 669
Apramol 500mg cp eff B/16;2023;9;15;14 263
Apramol 500mg cp eff B/16;2023;3;22;23 069
Apramol 500mg cp eff B/16;2023;5;9;9 549
Apramol 500mg cp eff B/16;2023;7;8;8 491
Apramol 500mg cp eff B/16;2023;8;12;12 786
Apramol 500mg cp eff B/16;2023;1;12;12 118
Apramol  500mg sec;2023;1;18;7 397
Apramol  500mg sec;2023;2;9;3 933
Apramol  500mg sec;2023;8;17;7 380
Apramol  500mg sec;2023;4;10;4 370
Apramol  500mg sec;2023;9;10;4 370
Apramol  500mg sec;2023;3;22;9 550
Apramol  500mg sec;2023;6;8;3 496
Artane 5mg cp B/20;2023;8;11;15 640
Artane 5mg cp B/20;2023;2;9;12 931
Artane 5mg cp B/20;2023;3;10;14 563
Artane 5mg cp B/20;2023;9;10;14 346
Artane 5mg cp B/20;2023;4;8;11 351
Artane 5mg cp B/20;2023;5;21;30 190
Artane 5mg cp B/20;2023;6;18;25 830
Artegen injetables;2023;1;124;159 384
Artegen injetables;2023;3;9;11 583
Artegen injetables;2023;2;69;88 786
Artesum 60mg sol inj b/1;2023;5;21;33 582
Artrime gh 80mg/400mg cp bte 6;2023;8;9;34 003
Artrime gh 80mg/400mg cp bte 6;2023;9;8;30 240
Aspegic 100mg B/20 sachet;2023;4;79;100 077
Aspegic 100mg B/20 sachet;2023;2;72;1 356 233
Aspegic 100mg B/20 sachet;2023;1;64;80 905
Aspegic 100mg B/20 sachet;2023;5;83;104 937
Aspegic 100mg B/20 sachet;2023;7;67;84 677
Aspegic 100mg B/20 sachet;2023;8;83;104 737
Aspegic 100mg B/20 sachet;2023;9;40;52 053
Aspegic 100mg B/20 sachet;2023;6;74;93 546
Aspegic 100mg B/20 sachet;2023;3;92;116 436
Aspirin cardio cp gastro resist bte/30;2023;5;25;42 862
Aspirin cardio cp gastro resist bte/30;2023;8;16;27 532
Aspirin cardio cp gastro resist bte/30;2023;1;18;31 008
Aspirin cardio cp gastro resist bte/30;2023;4;16;27 365
Aspirin cardio cp gastro resist bte/30;2023;2;32;54 499
Aspirin cardio cp gastro resist bte/30;2023;9;9;15 491
Aspirin cardio cp gastro resist bte/30;2023;3;21;36 159
Aspirin cardio cp gastro resist bte/30;2023;6;17;29 261
Astaph 125mg sirop fl/60ml;2023;7;10;19 659
Astaph 125mg sirop fl/60ml;2023;8;10;19 347
Astaph 250mg sirop fl/60ml;2023;6;8;50 508
Astaph 250mg sirop fl/60ml;2023;8;10;31 804
Astaph 500mg b/24;2023;4;10;50 262
Astaph 500mg b/24;2023;9;8;40 206
Asthalex sp;2023;6;9;9 391
Astymin SH sol pr perf;2023;5;9;53 259
Augmentin 100 sp E Fl/60ml;2023;2;9;31 507
Aureomycine vald 1% opht T/15g;2023;1;8;2 991
Aureomycine vald 1% opht T/15g;2023;2;8;2 996
Aureomycine vald 1% opht T/15g;2023;3;9;3 367
Aureomycine vald 3% derm T/15g;2023;7;12;6 363
Aureomycine vald 3% derm T/15g;2023;1;11;5 631
Aureomycine vald 3% derm T/15g;2023;3;15;7 069
Aureomycine vald 3% derm T/15g;2023;4;14;7 060
Aureomycine vald 3% derm T/15g;2023;9;19;10 073
Aureomycine vald 3% derm T/15g;2023;5;20;9 880
Aureomycine vald 3% derm T/15g;2023;2;11;5 635
Aureomycine vald 3% derm T/15g;2023;8;21;10 859
Azicure 500 cp;2023;2;25;125 648
Azicure 500 cp;2023;4;22;110 574
Azicure 500 cp;2023;5;11;55 289
Azicure 500 cp;2023;8;23;115 549
Azicure 500 cp;2023;6;12;60 314
Azicure 500 cp;2023;9;12;60 314
Azicure 500 cp;2023;7;20;100 496
Azicure 500 cp;2023;3;25;125 520
Azicure 500 cp;2023;1;21;105 561
Azient 500cp b/3;2023;5;10;39 013
Azient 500cp b/3;2023;8;15;57 492
Azient 500cp b/3;2023;7;11;42 810
Azient 500cp b/3;2023;6;9;34 003
Bactoclav 1000mg cp;2023;7;30;113 419
Bactoclav 1000mg cp;2023;8;48;181 479
Bactoclav 1000mg cp;2023;2;18;68 082
Bactoclav 1000mg cp;2023;4;29;109 015
Bactoclav 1000mg cp;2023;1;15;56 687
Bactoclav 1000mg cp;2023;6;21;113 404
Bactoclav 1000mg cp;2023;9;12;45 377
Bactoclav 1000mg cp;2023;5;24;90 615
Bactoclav 1000mg cp;2023;3;20;75 576
Bactox 125mg sp Fl/60ml;2023;1;16;20 006
Bande de  crepe 10x4;2023;4;14;12 503
Bande de  crepe 4x5;2023;5;8;4 108
Bande de gaze 10cmx4.5m b/12;2023;5;84;20 319
Bande de gaze 10cmx4.5m b/12;2023;3;60;12 075
Bande de gaze 10cmx4.5m b/12;2023;9;53;10 600
Bande de gaze 10cmx4.5m b/12;2023;6;78;17 400
Bande de gaze 10cmx4.5m b/12;2023;7;49;29 400
Bande de gaze 10cmx4.5m b/12;2023;2;64;13 237
Bande de gaze 10cmx4.5m b/12;2023;4;85;18 448
Bande de gaze 10cmx4.5m b/12;2023;8;110;26 482
Bande de gaze 3x10;2023;1;50;12 710
Bande de gaze labell 3mx7cm p10;2023;2;31;7 700
Bande de gaze labell 3mx7cm p10;2023;1;9;4 250
Bande de gaz labell 3Mx5cm;2023;1;13;3 250
Bande velpeau crep 4x7 bleu;2023;7;8;4 723
Baneocin pde tbe 20g;2023;9;36;60 488
Baneocin pde tbe 20g;2023;4;28;47 069
Baneocin pde tbe 20g;2023;5;37;61 699
Baneocin pde tbe 20g;2023;2;43;71 951
Baneocin pde tbe 20g;2023;8;176;279 751
Baneocin pde tbe 20g;2023;3;40;66 576
Baneocin pde tbe 20g;2023;6;44;74 198
Baneocin pde tbe 20g;2023;7;40;67 334
Baneocin pde tbe 20g;2023;1;33;54 865
Baneocin poudre fl/10g;2023;8;11;15 732
Becozyme detail;2023;5;14;3 778
Becozyme detail;2023;6;11;2 916
Becozyme detail;2023;4;19;5 273
Becozyme detail;2023;7;11;3 007
Becozyme detail;2023;3;32;8 288
Bepanthene pde T/30g;2023;8;12;34 507
Betadine bleue sol gyneco Fl/125ml;2023;5;50;61 698
Betadine bleue sol gyneco Fl/125ml;2023;9;43;53 077
Betadine bleue sol gyneco Fl/125ml;2023;2;23;28 376
Betadine bleue sol gyneco Fl/125ml;2023;1;47;58 007
Betadine bleue sol gyneco Fl/125ml;2023;8;31;38 263
Betadine bleue sol gyneco Fl/125ml;2023;6;42;51 835
Betadine bleue sol gyneco Fl/125ml;2023;7;37;45 641
Betadine bleue sol gyneco Fl/125ml;2023;3;49;60 489
Betadine bleue sol gyneco Fl/125ml;2023;4;51;62 936
Betadine jaune sol dermique Fl/125ml;2023;8;39;65 278
Betadine jaune sol dermique Fl/125ml;2023;6;12;20 068
Betadine jaune sol dermique Fl/125ml;2023;9;15;25 484
Betadine jaune sol dermique Fl/125ml;2023;3;8;12 308
Betadine jaune sol dermique Fl/125ml;2023;1;14;20 175
Betadine jaune sol dermique Fl/125ml;2023;7;10;16 983
Betadine jaune sol dermique Fl/125ml;2023;4;19;31 181
Betadine rouge scrub Fl/125ml;2023;1;9;11 772
Betadine rouge scrub Fl/125ml;2023;4;12;15 717
Betamecro 2mg cp disp b/10;2023;9;13;32 492
Betamecro 2mg cp disp b/10;2023;8;15;36 903
Betamed inj;2023;5;12;7 966
Betastene gtte;2023;4;9;25 798
Bibactin 240mg sp Fl/100ml;2023;9;20;25 724
Bibactin 240mg sp Fl/100ml;2023;7;25;31 950
Bibactin 240mg sp Fl/100ml;2023;8;53;68 198
Bibactin 240mg sp Fl/100ml;2023;4;11;13 998
Bibactin 240mg sp Fl/100ml;2023;5;12;15 396
Biba sirop;2023;6;8;20 903
Bilor 10mg cp b/10;2023;5;11;14 049
Bilor 10mg cp b/10;2023;4;9;11 467
Bilor 10mg cp b/10;2023;3;12;15 268
Biofar 12vit/12min;2023;6;25;96 785
Biofar 12vit/12min;2023;7;9;34 683
Biofar 12vit/12min;2023;8;50;181 597
Biofar 12vit/12min;2023;9;21;76 715
Biofar 12vit/12min;2023;5;32;120 584
Biofar 12vit/12min;2023;1;17;63 198
Biofar 12vit/12min;2023;3;34;126 138
Biofar 12vit/12min;2023;4;19;72 576
Biofar ACE selemenium zinc vit B9 B6 cp B/20;2023;5;11;41 866
Biofar ACE selemenium zinc vit B9 B6 cp B/20;2023;3;11;42 631
Biofar calcium magnesium cp B/20;2023;8;11;35 006
Biofar Multi/ 12 vitamine cp effer B/20 sans sucre;2023;8;13;41 100
Biofar Multi/ 12 vitamine cp effer B/20 sans sucre;2023;9;8;25 189
Biofar Multi/ 12 vitamine cp effer B/20 sans sucre;2023;6;10;31 516
Biofar vit c 1000 b/20;2023;9;9;30 643
Biofar vit c 1000 b/20;2023;7;9;31 087
Biofar vit c 1000 b/20;2023;6;9;31 050
Bi orangin 1.5MUI/250mg cp pel b/16;2023;8;15;62 328
Bi orangin 1.5MUI/250mg cp pel b/16;2023;1;9;41 532
Bi orangin 1.5MUI/250mg cp pel b/16;2023;7;8;34 812
Bledilait 3 croiss t/900g;2023;4;8;50 818
Bledilait 3 croiss t/900g;2023;6;13;84 767
Bledilait 3 croiss t/900g;2023;3;11;65 389
Bledilait 3 croiss t/900g;2023;5;13;84 690
Blooms test ;2023;7;11;18 714
Boncipro 500mg cp B/20;2023;1;11;46 357
Boncipro 500mg cp B/20;2023;5;9;39 606
Boncipro gtte;2023;5;9;17 190
Boncipro gtte;2023;2;9;17 178
Boncipro gtte;2023;3;9;16 970
Boncipro gtte;2023;9;8;15 268
Boncipro gtte;2023;8;10;19 100
Brimo collyre;2023;4;11;72 238
Brimo collyre;2023;6;10;62 722
Broncathiol sp Ad FL/150mil sans sucre;2023;4;8;18 935
Broncathiol sp Ad FL/150mil sans sucre;2023;3;9;21 308
Broxol sp FL/100ml;2023;1;14;28 378
Brustan cp  B/10;2023;8;14;16 353
Brustan cp  B/10;2023;3;15;18 888
Brustan cp  B/10;2023;9;8;10 111
Brustan cp  B/10;2023;4;8;10 115
Brustan cp  B/10;2023;7;10;12 647
Brustan cp  B/10;2023;2;8;10 108
Brustan cp  B/10;2023;6;8;10 117
Brustan cp  B/10;2023;1;12;16 367
Brustan cp  B/10;2023;5;10;12 646
Brustan sp FL/100ml;2023;1;12;14 150
Brustan sp FL/100ml;2023;3;18;21 243
Brustan sp FL/100ml;2023;2;13;15 422
Brustan sp FL/100ml;2023;5;16;20 161
Brustan sp FL/100ml;2023;9;12;14 124
Brustan sp FL/100ml;2023;4;13;25 843
Brustan sp FL/100ml;2023;7;21;35 392
Brustan sp FL/100ml;2023;6;11;12 936
Brustan sp FL/100ml;2023;8;27;31 854
Buccothymol BB FL/150ml;2023;9;44;49 096
Buccothymol BB FL/150ml;2023;5;78;96 826
Buccothymol BB FL/150ml;2023;7;73;91 489
Buccothymol BB FL/150ml;2023;3;88;97 128
Buccothymol BB FL/150ml;2023;2;83;92 619
Buccothymol BB FL/150ml;2023;1;84;93 763
Buccothymol BB FL/150ml;2023;4;68;75 845
Buccothymol BB FL/150ml;2023;6;56;62 464
Buccothymol BB FL/150ml;2023;8;110;122 663
CAC 1000cp eff B/10;2023;6;102;199 253
CAC 1000cp eff B/10;2023;5;106;206 987
CAC 1000cp eff B/10;2023;1;86;167 377
CAC 1000cp eff B/10;2023;8;102;199 017
CAC 1000cp eff B/10;2023;7;85;181 494
CAC 1000cp eff B/10;2023;2;103;200 901
CAC 1000cp eff B/10;2023;3;97;189 266
CAC 1000cp eff B/10;2023;9;70;136 703
CAC 1000cp eff B/10;2023;4;78;152 327
CAC 1000 orange cp eff B/10;2023;1;15;28 769
CAC 1000 orange cp eff B/10;2023;6;16;48 308
CAC 1000 orange cp eff B/10;2023;9;12;23 209
CAC 1000 orange cp eff B/10;2023;2;17;32 773
CAC 1000 orange cp eff B/10;2023;4;21;40 617
CAC 1000 orange cp eff B/10;2023;8;26;50 284
CAC 1000 orange cp eff B/10;2023;7;19;36 386
CAC 1000 orange cp eff B/10;2023;3;24;46 377
CAC 1000 orange cp eff B/10;2023;5;17;32 851
Caille-Lait brun cp B/30;2023;7;26;44 675
Caille-Lait brun cp B/30;2023;4;49;76 494
Caille-Lait brun cp B/30;2023;8;46;78 200
Caille-Lait brun cp B/30;2023;1;168;247 803
Caille-Lait brun cp B/30;2023;5;81;126 418
Caille-Lait brun cp B/30;2023;2;142;209 459
Calben cp B/1;2023;8;9;8 100
Canaflucan cp;2023;7;8;10 296
Carbamazepine gh lp 200mg ;2023;5;11;51 760
Carben 500 cp B/1;2023;4;39;46 784
Carben 500 cp B/1;2023;6;36;43 183
Carben 500 cp B/1;2023;5;36;43 193
Carben 500 cp B/1;2023;7;35;41 949
Carben 500 cp B/1;2023;8;31;37 184
Carben 500 cp B/1;2023;3;61;73 167
Carben 500 cp B/1;2023;1;10;10 497
Carben 500 cp B/1;2023;9;27;31 392
Carben 500 cp B/1;2023;2;31;37 185
Carben sp FL/30ml;2023;9;11;9 768
Carbigen 5mg cp;2023;5;12;15 440
Carbigen 5mg cp;2023;4;8;10 296
Carbotoux 5% sp adulte;2023;1;14;15 726
Cardiurine cp B/30;2023;3;12;46 268
Cardiurine cp B/30;2023;7;9;33 856
Cardiurine cp B/30;2023;8;16;94 143
Cardiurine cp B/30;2023;2;9;33 904
Carmox-250 sp;2023;9;8;10 960
Catgut 3/0;2023;8;18;27 600
Catgut fil 3/0 b12;2023;2;8;8 000
Catheter G20  rose;2023;5;9;5 400
Catheter G22 bleu ;2023;4;8;4 800
Catheter G22 bleu ;2023;3;9;5 400
Catheter G22 bleu ;2023;8;15;8 900
Catheter G22 bleu ;2023;9;14;7 800
Catheter G22 bleu ;2023;5;9;5 400
Cefexol 400mg cp;2023;3;13;59 911
Cefexol 400mg cp;2023;7;10;46 193
Cefolac 200mg cp pell b/8;2023;7;10;35 741
Cefolac 200mg cp pell b/8;2023;5;11;39 089
Cefolac 200mg cp pell b/8;2023;8;10;35 420
Celestene 0,5mg gtte;2023;3;10;29 478
Celestene 2mg cp B/20;2023;4;15;50 682
Celestene 2mg cp B/20;2023;2;11;33 776
Celestene 4mg/1ml inj B/3;2023;4;8;27 097
Cï¿½rï¿½lac 3 fruits;2023;4;12;44 261
Cï¿½rï¿½lac 3 fruits;2023;6;11;41 098
Cï¿½rï¿½lac 3 fruits;2023;3;14;53 124
Cï¿½rï¿½lac 3 fruits;2023;5;23;87 750
Cï¿½rï¿½lac 3 fruits;2023;2;10;36 863
Cerelac biscuit;2023;1;9;27 073
Cerelac biscuit;2023;6;20;61 870
Cerelac biscuit;2023;3;13;42 475
Cerelac biscuit;2023;7;11;33 650
Cerelac biscuit;2023;5;10;30 750
Cï¿½rï¿½lac blï¿½ pot 400g;2023;3;18;52 375
Cï¿½rï¿½lac blï¿½ pot 400g;2023;1;13;39 315
Cï¿½rï¿½lac blï¿½ pot 400g;2023;2;12;35 400
